user,%
0xaf198e3593b61be3469d856c57961daa49be4852,0.01%
0xa47dcc127bd2487b01477d8e381dced5de5e5033,0.01%
0xfc8ed9f0622a98847a829aad5401a711d2a2b8ed,0.01%
0x86b31425642e814b8ad3dbb4d0888cf7565b1f02,0.01%
0x20d630cf1f5628285bfb91dfac8c89eb9087be1a,0.01%
0xf08b2381988b4db1445214d6618a14e8ecfa7118,0.01%
0x0ea9239001e8ebe447d9dec97b3433e5efcec5a8,0.01%
0x17782ca7c882940f438a8def46e4d3959d1c1d1b,0.01%
0x76a62e665929ef82fa8ea16be546e1f9b17d22ef,0.01%
0xf6879537088e8e66422f45f377860876e9571942,0.01%
0x011b8a0ebb2b6fd49963890400194513f8c63a46,0.01%
0x5281ce1dc2a9df74b73a1bb79331db6d3a61f448,0.01%
0x45c3e668c752e0e624d6e277138af3988ae15429,0.01%
0x5d29b68aafb22c491977eacf7dfb1661d2832555,0.01%
0x6540643e79d42c1c4fa1d72870867a0045e24481,0.01%
0x0521bd7001adc34d48df67de39791cd53a768084,0.01%
0x8ccfcfa7e6133e0875192974d0d857fb7a28375e,0.01%
0x39d49935ff74ba6c9f31ffac97eac82fb479127b,0.01%
0x2285ae438106e2dbe91d56a2330cbbdf4e65b591,0.01%
0x75697d4802423fdab397abb3f5de74cb311b3a6d,0.01%
0xa13a8b8039b6e8e26b1763b0e7e9ec992a73b996,0.01%
0xf684d0b546405eaa848e7f0cdc59f53cca47db17,0.01%
0x749f90c2f42f7184a018ce3743c413bfe4f316ac,0.01%
0x384f656e1c1e7938aefb0f3816a0f1a9b1299700,0.01%
0xa9b1a760b56df3c18a93d596f7851d0d7144c866,0.01%
0x307f6ab47ffbf52b63dd3e8a5c9ec98f9e0f1e0a,0.01%
0x5cd53e829c4d8c9389e266794bfa71e108b246b7,0.01%
0x16d6a1f7694250559d0a965ffdccf518ee69f6cd,0.01%
0x79fe7c16af9942879c56d335fe22baf456af89e2,0.00%
0x9f4e7ba0f61fa32ac64e2445d4ce0cc7881ab159,0.00%
0xbfd1dbdaf2124a76321dfacc07cb75973d3a6943,0.00%
0xe2680c6c726d2fbd9f8766e6c6d0bfd289414122,0.00%
0x456ad7d3b69a1955074de272e314a6bcab6a5106,0.00%
0xe6c34a53e2d24ede3d3313a4f391f8034671aa68,0.00%
0x0a251df99a88a20a93876205fb7f5faf2e85a481,0.00%
0x0eedf72e23a4a7e7865273adcd0eeeebc262ffc3,0.00%
0x046f0d907e4c87d598d18c92d3f15cd6c572dfcf,0.00%
0xeee632be32ef13b1444933f2c00aa85eba4b866b,0.00%
