Address,Percentage
0x367ec4c10965917023b4fb05939166e3d3fe5cdf,0.0333552%
0x26b74891a95b283b3d3232f3bb3a10c15188001d,0.0333478%
0xe0e1b65d6afd4f15bc0591d5f327e4d32610bb6c,0.0331242%
0xb41c4c39e125e59b900382d265cbcb016fea370a,0.0329955%
0x9727e451546e8d2103d432967796904164477d9a,0.0328137%
0xce74b0c18035eb5eb781a6909151eeefe99fcf65,0.0327898%
0x1a2e130f7237dd565abce5d99dacbd53a78c9f6d,0.0327307%
0xb1ead214506d0cd73785dd09b3efc2307133bf69,0.0326917%
0xf38c341aca711fbd3dcf5c2c6a416ac8c2d31fa4,0.0326917%
0x50333b9f32c6abc1999c72e11aee3307d55a2b9c,0.0326917%
0x81813be44e65918b3f8d73ef3414480b7dd5f49b,0.0326917%
0x93407cca0c74f8c6f8ffbccd1b3ecc99829c5231,0.0326917%
0x275121b5734bdae3bd97da0fe37f47450656cb13,0.0326917%
0xdc4913f00ef9ec8c2f34ca7716c5e2d40b7d3ad2,0.0326917%
0x535197bcc3ebbe2804b6f3596a4485b3389722d6,0.0325113%
0x66e1d752d9cc645cd5d39e3492b66e0345de5b7a,0.0323385%
0x6f7b544d065ec3f37db89397e369094e2094bb22,0.0322540%
0x283cfbaa7fc15bd8fc3298bb2271543b8c4b495b,0.0321873%
0x7ee26759fe1fd63a8804aa9d6471e64d9c3747ce,0.0321055%
0x35418ce8c1c6fac3d30509d8fead7cc8e837d869,0.0319389%
0x99c16f75e14cadc95c013504635de3f364b16250,0.0318266%
0xfbb0fb4a846e77f3adb2e84992fc13d4c6e85f10,0.0317756%
0xec68c02cc2358dc2c690ae3ff2a184a9705803cb,0.0317374%
0x3d54db06a81e4ef85a70bd608b5248840da39101,0.0317252%
0x1594b251df6b70ca9a01d4de0836ab4fd9811241,0.0308253%
0xe59b190754adb7f5a0b132342433ab45a19f36fb,0.0307076%
0xbe59bfb3a0620046abd575fe4bdfd4fcc70ea64c,0.0300792%
0x6d2960ec18d985fc8183c9f842576bdd08fa5053,0.0299362%
0x2facca7761e11e84c72620ffc4a31ecd26504507,0.0298895%
0x6ae34d0baab756d0d38a574852c2e4e8b9b30104,0.0298871%
0x9fbe4733ef57f421de906406ab788aeba55d929a,0.0295582%
0x33ed9bbfb2d2f033d250b4acb8edeb25dc108e2f,0.0294588%
0xd4a2aee94345bfa6aa1bdd3b95e8dc9d14b2ea19,0.0291528%
0x7f57acb5e5dbbd50ad853b524c83361b18b42b2c,0.0290704%
0xbb75c2b1644885307e4ce408595329e28c1365d7,0.0290368%
0xcb8e60a61fe464c506736188f426c976f37891f9,0.0290056%
0xec04e0a492f5a5fe631abb4c7dddae8a2c84e57e,0.0284896%
0x122c87de7ecbf8037e2dfbabe9c83dde5d9289ff,0.0283894%
0x8a7baf1c572306456e877ed2b9f7d6997058da49,0.0281689%
0x2a8979e2672acc7f8583d7564ad1d9b5dc375736,0.0279468%
0x286a2103ddf789b5414c684a055bce98847f776e,0.0274938%
0x8efbdcad37afdb135ea405e64e03eb10086c14be,0.0274142%
0x60b85e75f65c089bb914ca3b17e10c37e98ccd03,0.0273125%
0x1f9fe5f3ba7006632c9da1761b5409e6b4b6fb74,0.0271896%
0xad4618702998e39697e8ea5b6dc0103463cec212,0.0270583%
0xa10d37c1e68b14ad0d60a3a74ed8131221a183fa,0.0269369%
0xe843f48ba33782f65e63290acdc0676cba66cb44,0.0268916%
0x8290b298301cfbcfa835bdea01fb1d90248babae,0.0268844%
0x99afe484e2f46ac123b47dd67e5fd3a521821c3d,0.0267649%
0xe8fa831921c785102eff689316fe5a19dc73e15b,0.0267171%
0xae261952d104d5dfe6c4fe17564cd7363bd3405c,0.0266768%
0xfc28ccdbad1cb17d92e6266c06839635330d4a33,0.0266291%
0x3f89fb0b7c190ed5681e8950ef3609964baf4b5b,0.0265663%
0xa989771533b0904a217bd4352446952fb8089997,0.0264727%
0x4c96e47108d6fad165387fea03a00a74f4ca3e97,0.0263061%
0x92f96895cc17ef0532817b63abce4cf379b02986,0.0261683%
0xf01044281a76859a13dcf4f4b501a356d85ed4cd,0.0260433%
0x540073db5011d29a95bbfd5a42e1a8d2f0a46699,0.0259382%
0x8d6b9f4b91a2d205f1550a53cf689e6c8338ee7c,0.0254593%
0xb5117195c83b536d2887b0aa31424327384fe701,0.0253146%
0x4a3028cefccca5c4cd88ed7e2b22924a645b9511,0.0251224%
0xc6d733268381a8423218c9037e08a26f8b0bf415,0.0250246%
0x090e01d099aa8596be28a42176b881760ad37a77,0.0248000%
0x7c2386c9a7fdcb65716366db3fc2f71389038d43,0.0243805%
0x0c03119ef72b5222bdef6ed9b29c5bbb89ea85e0,0.0243286%
0xe9a3cb11aee3744a3304bb72de53cfb3ec140bf4,0.0242750%
0xd3881d362b047645b8dcd26515c66e5ba7fc8934,0.0241945%
0xa8da5912db11c6caa2762473f0b5d3dba6aff992,0.0241256%
0x3aa69f6360806ab5da9f9f77f6cc09f9092b255b,0.0240954%
0x813abf1ed4392aa41d1c2f3968a76d201a9b7b32,0.0240706%
0x3db61d37ee38e2aa668fcbb3ba7b99262040ded3,0.0240556%
0xba7d61065c110c6aafd1569c6dced85f370c0afe,0.0238805%
0x51d6daeada55bae27a447e34f149e6d4ec147cf9,0.0235724%
0xd6ab2fa07261dee9562245f58eaaf90bf58b9396,0.0229876%
0xc7d3738a13b537fb179ae151e22e921ca95a5d3f,0.0229173%
0xa6321e72938c5d5ba59e2559bbdf5bbc839f15ee,0.0228842%
0x4c08925478b576d5c353ab49dc9014215e38d8d7,0.0228685%
0x3cf554fc3e3c88b68c047cbcc3affea1041db789,0.0228570%
0xd2b6f7e3ce2f25c2362d6ccdd2c19d4076d10ecb,0.0227166%
0x54cede338f55db62caa0a8e2299a730c6c1ee6b2,0.0226895%
0xf7e68951fa84c1c18169beba2315cfe8675a58cd,0.0226602%
0xf21db7e158e991a3706aff4b0591a76c7a09f9cf,0.0222809%
0x2e7e634ce6b5ea81707e18aa3a153109ea95a111,0.0221557%
0x73af74bf2c2aab246daee49b9306398c6ceea6bc,0.0221526%
0x3439e6b821655b8d4ea56af7602f0675c2e99ba1,0.0220740%
0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0.0219039%
0x2f0d1101899c938e05202cd802b6132d764c861b,0.0215963%
0x8bfd0bbbd86eb8191b9b7198143b25273901b9c7,0.0215592%
0xe30c013a46f5e8d847e474a9e40e85438b1d1b19,0.0215403%
0xe31dfe07bdd9ab7f0ce2c653b9c114cff9379221,0.0214297%
0x730166a400b74efaf718b87edbe3301e79547b4c,0.0214133%
0x0a65eed53f3496beab5c75e3a1a3c5943a9cf96b,0.0214105%
0xee650f5599bd48f27b29b254a4c45322a755c6b4,0.0212558%
0xc6dac855b4649d10f90f6e20a98cfb532ee79d41,0.0208864%
0xd7d7bfb801b41d7b367cf43cd9d7dfc06fc37f39,0.0202513%
0x2ddb405238368695f34d30a80ab60c449aa5ce48,0.0202493%
0x00805817f5a241947045bdf795262769164592dc,0.0201887%
0x08498064e991defe658124262c1c7ef13d9ae4c5,0.0200369%
0xe533d37f873db5ac5c3cf6fd567abcb5b5dc5d64,0.0198304%
0x681f7330e9ad83d6e4cb942b2c23f88aadfac029,0.0198137%
